success,rt,trial_type,trial_index,plugin_version,time_elapsed,random_id,participant,stimulus,response,Category,Concept,T1,T2,CorrectAnswer,correct,reflection1,reflection2,file_name
TRUE,2233,fullscreen,0,null,3239,p03mqyeeyqu,seal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1207,html-keyboard-response,1,2.0.0,4448,p03mqyeeyqu,seal,This trial will be in fullscreen mode. Press any key to begin.,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1007,html-keyboard-response,2,2.0.0,5956,p03mqyeeyqu,seal,Welcome to the experiment. Press any key to begin.,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,2984,survey-text,3,2.0.0,9444,p03mqyeeyqu,seal,NA,"{""participant_id"":""seal""}",NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,7829,html-keyboard-response,4,2.0.0,17774,p03mqyeeyqu,seal,"<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,NA,html-keyboard-response,5,2.0.0,19477,p03mqyeeyqu,seal,<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>,null,NA,NA,NA,NA,NA,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,5078,html-keyboard-response,6,2.0.0,25058,p03mqyeeyqu,seal,<b><font size=6>Mirrors reflect sound.</font></b>,z,Waves,Reflection,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,4744,html-keyboard-response,7,2.0.0,30303,p03mqyeeyqu,seal,<b><font size=6>Sounds can be dead or alive.</font></b>,z,Waves,Sound,FALSE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1860,html-keyboard-response,8,2.0.0,32664,p03mqyeeyqu,seal,<b><font size=6>Sounds can be near or far.</font></b>,z,Waves,Sound,TRUE,FALSE,FALSE,FALSE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
NA,1534,html-keyboard-response,9,2.0.0,34700,p03mqyeeyqu,seal,<b><font size=6>Sound travels through metal.</font></b>,z,Waves,Propagation,FALSE,TRUE,TRUE,TRUE,NA,NA,/Users/martincz/GitHub/COGS119/group_fa24_naive_theories/analysis/../data/raw_data/p03mqyeeyqu_1732223212566.csv
