"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","2233","fullscreen","0","null","3239","p03mqyeeyqu","seal","","","","","","","","","",""
"","1207","html-keyboard-response","1","2.0.0","4448","p03mqyeeyqu","seal","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","1007","html-keyboard-response","2","2.0.0","5956","p03mqyeeyqu","seal","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","2984","survey-text","3","2.0.0","9444","p03mqyeeyqu","seal","","{""participant_id"":""seal""}","","","","","","","",""
"","7829","html-keyboard-response","4","2.0.0","17774","p03mqyeeyqu","seal","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","19477","p03mqyeeyqu","seal","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","5078","html-keyboard-response","6","2.0.0","25058","p03mqyeeyqu","seal","<b><font size=6>Mirrors reflect sound.</font></b>","z","Waves","Reflection","F","T","T","true","",""
"","4744","html-keyboard-response","7","2.0.0","30303","p03mqyeeyqu","seal","<b><font size=6>Sounds can be dead or alive.</font></b>","z","Waves","Sound","F","F","F","false","",""
"","1860","html-keyboard-response","8","2.0.0","32664","p03mqyeeyqu","seal","<b><font size=6>Sounds can be near or far.</font></b>","z","Waves","Sound","T","F","F","false","",""
"","1534","html-keyboard-response","9","2.0.0","34700","p03mqyeeyqu","seal","<b><font size=6>Sound travels through metal.</font></b>","z","Waves","Propagation","F","T","T","true","",""
"","3237","html-keyboard-response","10","2.0.0","38439","p03mqyeeyqu","seal","<b><font size=6>Shadows contain all colors of light.</font></b>","z","Waves","Light","F","F","F","false","",""
"","2881","html-keyboard-response","11","2.0.0","41822","p03mqyeeyqu","seal","<b><font size=6>Red objects absorb red light.</font></b>","z","Waves","Color","T","F","F","false","",""
"","2898","html-keyboard-response","12","2.0.0","45222","p03mqyeeyqu","seal","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","1355","html-keyboard-response","13","2.0.0","47078","p03mqyeeyqu","seal","<b><font size=6>Sounds can be loud or quiet.</font></b>","z","Waves","Sound","T","T","T","true","",""
"","2083","html-keyboard-response","14","2.0.0","49662","p03mqyeeyqu","seal","<b><font size=6>Red objects reflect red light.</font></b>","z","Waves","Color","T","T","T","true","",""
"","2668","html-keyboard-response","15","2.0.0","52832","p03mqyeeyqu","seal","<b><font size=6>Sound travels through a vacuum.</font></b>","m","Waves","Propagation","T","F","F","true","",""
"","1116","html-keyboard-response","16","2.0.0","54450","p03mqyeeyqu","seal","<b><font size=6>Sound travels through air.</font></b>","z","Waves","Propagation","T","T","T","true","",""
"","3025","html-keyboard-response","17","2.0.0","57976","p03mqyeeyqu","seal","<b><font size=6>Foam reflects sound.</font></b>","z","Waves","Reflection","F","F","F","false","",""
"","2599","html-keyboard-response","18","2.0.0","61077","p03mqyeeyqu","seal","<b><font size=6>White light contains all colors of light.</font></b>","z","Waves","Light","F","T","T","true","",""
"","5096","html-keyboard-response","19","2.0.0","66675","p03mqyeeyqu","seal","<b><font size=6>Red objects absorb blue light.</font></b>","m","Waves","Color","F","T","T","false","",""
