"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1803","fullscreen","0","null","2813","p1s0mtu3x9e","p73","","","","","","","","","",""
"","1627","html-keyboard-response","1","2.0.0","4442","p1s0mtu3x9e","p73","This trial will be in fullscreen mode. Press any key to begin.","m","","","","","","","",""
"","935","html-keyboard-response","2","2.0.0","5879","p1s0mtu3x9e","p73","Welcome to the experiment. Press any key to begin.","m","","","","","","","",""
"","5566","survey-text","3","2.0.0","11953","p1s0mtu3x9e","p73","","{""participant_id"":""p73""}","","","","","","","",""
"","9965","html-keyboard-response","4","2.0.0","22422","p1s0mtu3x9e","p73","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>","m","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","24126","p1s0mtu3x9e","p73","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Fractions</font></b>","null","","","","","","","",""
"","4830","html-keyboard-response","6","2.0.0","29459","p1s0mtu3x9e","p73","<b><font size=6>1/3 plus 1/3 is 2/3.</font></b>","z","Fractions","Addition","T","T","T","true","",""
"","2755","html-keyboard-response","7","2.0.0","32716","p1s0mtu3x9e","p73","<b><font size=6>There are numbers between 10 and 10.</font></b>","m","Fractions","Infinite density","F","F","F","true","",""
"","3802","html-keyboard-response","8","2.0.0","37021","p1s0mtu3x9e","p73","<b><font size=6>There are numbers between 1/3 and 1/2.</font></b>","z","Fractions","Infinite density","F","T","T","true","",""
"","11103","html-keyboard-response","9","2.0.0","48626","p1s0mtu3x9e","p73","<b><font size=6>2/3 plus 2/4 is 2/7.</font></b>","m","Fractions","Addition","T","F","F","true","",""
"","6677","html-keyboard-response","10","2.0.0","55805","p1s0mtu3x9e","p73","<b><font size=6>4 divided by 1/2 is 8.</font></b>","z","Fractions","Division","F","T","T","true","",""
"","1820","html-keyboard-response","11","2.0.0","58127","p1s0mtu3x9e","p73","<b><font size=6>There are numbers between 1 and 3.</font></b>","z","Fractions","Infinite density","T","T","T","true","",""
"","5614","html-keyboard-response","12","2.0.0","64244","p1s0mtu3x9e","p73","<b><font size=6>1/13 is greater than 1/30.</font></b>","z","Fractions","Ordering","F","T","T","true","",""
"","3256","html-keyboard-response","13","2.0.0","68003","p1s0mtu3x9e","p73","<b><font size=6>1/3 plus 1/3 is 1/3.</font></b>","m","Fractions","Addition","F","F","F","true","",""
"","3247","html-keyboard-response","14","2.0.0","71752","p1s0mtu3x9e","p73","<b><font size=6>8 divided by 1/2 is 4.</font></b>","m","Fractions","Division","T","F","F","true","",""
"","9651","html-keyboard-response","15","2.0.0","81906","p1s0mtu3x9e","p73","<b><font size=6>8 divided by 2/1 is 3.</font></b>","m","Fractions","Division","F","F","F","true","",""
"","3828","html-keyboard-response","16","2.0.0","86237","p1s0mtu3x9e","p73","<b><font size=6>1/17 is greater than 16/17.</font></b>","m","Fractions","Ordering","F","F","F","true","",""
"","2675","html-keyboard-response","17","2.0.0","89413","p1s0mtu3x9e","p73","<b><font size=6>1/10 plus 1/10 is 1/5.</font></b>","z","Fractions","Addition","F","T","T","true","",""
"","4779","html-keyboard-response","18","2.0.0","94695","p1s0mtu3x9e","p73","<b><font size=6>4 divided by 2/1 is 2.</font></b>","z","Fractions","Division","T","T","T","true","",""
"","5323","html-keyboard-response","19","2.0.0","100520","p1s0mtu3x9e","p73","<b><font size=6>1/17 is greater than 1/9.</font></b>","m","Fractions","Ordering","T","F","F","true","",""
"","2074","html-keyboard-response","20","2.0.0","103097","p1s0mtu3x9e","p73","<b><font size=6>12/13 is greater than 1/13.</font></b>","z","Fractions","Ordering","T","T","T","true","",""
"","3644","html-keyboard-response","21","2.0.0","107242","p1s0mtu3x9e","p73","<b><font size=6>All decimals are expressible as fractions.</font></b>","z","Fractions","Conversion","T","T","T","true","",""
"","3951","html-keyboard-response","22","2.0.0","111695","p1s0mtu3x9e","p73","<b><font size=6>All integers are expressible as fractions.</font></b>","z","Fractions","Conversion","F","T","T","true","",""
"","6503","html-keyboard-response","23","2.0.0","118701","p1s0mtu3x9e","p73","<b><font size=6>There are numbers between 1/10 and 10/100.</font></b>","m","Fractions","Infinite density","T","F","F","true","",""
"","8484","html-keyboard-response","24","2.0.0","127686","p1s0mtu3x9e","p73","<b><font size=6>All fractions are expressible as integers.</font></b>","m","Fractions","Conversion","F","F","F","true","",""
"","6148","html-keyboard-response","25","2.0.0","134337","p1s0mtu3x9e","p73","<b><font size=6>All fractions are expressible as decimals.</font></b>","z","Fractions","Conversion","T","F","F","false","",""
"","null","html-keyboard-response","26","2.0.0","136541","p1s0mtu3x9e","p73","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","5404","html-keyboard-response","27","2.0.0","142448","p1s0mtu3x9e","p73","<b><font size=6>White light contains all colors of light.</font></b>","z","Waves","Light","F","T","T","true","",""
"","1679","html-keyboard-response","28","2.0.0","144629","p1s0mtu3x9e","p73","<b><font size=6>Sounds can be dead or alive.</font></b>","m","Waves","Sound","F","F","F","true","",""
"","3441","html-keyboard-response","29","2.0.0","148572","p1s0mtu3x9e","p73","<b><font size=6>Red objects reflect blue light.</font></b>","z","Waves","Color","F","F","F","false","",""
"","3100","html-keyboard-response","30","2.0.0","152173","p1s0mtu3x9e","p73","<b><font size=6>Rainbows contain all colors of light.</font></b>","z","Waves","Light","T","T","T","true","",""
"","1789","html-keyboard-response","31","2.0.0","154465","p1s0mtu3x9e","p73","<b><font size=6>Sounds can be loud or quiet.</font></b>","z","Waves","Sound","T","T","T","true","",""
"","3847","html-keyboard-response","32","2.0.0","158814","p1s0mtu3x9e","p73","<b><font size=6>Red objects reflect red light.</font></b>","z","Waves","Color","T","T","T","true","",""
"","4851","html-keyboard-response","33","2.0.0","164167","p1s0mtu3x9e","p73","<b><font size=6>Foam reflects sound.</font></b>","m","Waves","Reflection","F","F","F","true","",""
"","2935","html-keyboard-response","34","2.0.0","167604","p1s0mtu3x9e","p73","<b><font size=6>Black objects reflect all colors of light.</font></b>","m","Waves","Light","T","F","F","true","",""
"","2667","html-keyboard-response","35","2.0.0","170772","p1s0mtu3x9e","p73","<b><font size=6>Mirrors reflect light.</font></b>","z","Waves","Reflection","T","T","T","true","",""
"","4349","html-keyboard-response","36","2.0.0","175623","p1s0mtu3x9e","p73","<b><font size=6>Red objects absorb blue light.</font></b>","z","Waves","Color","F","T","T","true","",""
"","1941","html-keyboard-response","37","2.0.0","178067","p1s0mtu3x9e","p73","<b><font size=6>Prisms reflect light.</font></b>","z","Waves","Reflection","T","F","F","false","",""
"","6939","html-keyboard-response","38","2.0.0","185508","p1s0mtu3x9e","p73","<b><font size=6>Shadows contain all colors of light.</font></b>","m","Waves","Light","F","F","F","true","",""
"","2165","html-keyboard-response","39","2.0.0","188174","p1s0mtu3x9e","p73","<b><font size=6>Sound travels through air.</font></b>","z","Waves","Propagation","T","T","T","true","",""
"","1436","html-keyboard-response","40","2.0.0","190112","p1s0mtu3x9e","p73","<b><font size=6>Sound travels through foam.</font></b>","m","Waves","Propagation","F","F","F","true","",""
"","4294","html-keyboard-response","41","2.0.0","194908","p1s0mtu3x9e","p73","<b><font size=6>Red objects absorb red light.</font></b>","m","Waves","Color","T","F","F","true","",""
"","4206","html-keyboard-response","42","2.0.0","199616","p1s0mtu3x9e","p73","<b><font size=6>Sound travels through metal.</font></b>","m","Waves","Propagation","F","T","T","false","",""
"","2577","html-keyboard-response","43","2.0.0","202695","p1s0mtu3x9e","p73","<b><font size=6>Sounds can be near or far.</font></b>","z","Waves","Sound","T","F","F","false","",""
"","2465","html-keyboard-response","44","2.0.0","205662","p1s0mtu3x9e","p73","<b><font size=6>Sound travels through a vacuum.</font></b>","m","Waves","Propagation","T","F","F","true","",""
"","2176","html-keyboard-response","45","2.0.0","208340","p1s0mtu3x9e","p73","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","2132","html-keyboard-response","46","2.0.0","210974","p1s0mtu3x9e","p73","<b><font size=6>Mirrors reflect sound.</font></b>","m","Waves","Reflection","F","T","T","false","",""
"","null","html-keyboard-response","47","2.0.0","213178","p1s0mtu3x9e","p73","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","null","","","","","","","",""
"","5581","html-keyboard-response","48","2.0.0","219262","p1s0mtu3x9e","p73","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","m","Genetics","Chromosome","F","T","T","false","",""
"","1839","html-keyboard-response","49","2.0.0","221603","p1s0mtu3x9e","p73","<b><font size=6>Pierced ears are heritable.</font></b>","m","Genetics","Heritability","F","F","F","true","",""
"","2019","html-keyboard-response","50","2.0.0","224124","p1s0mtu3x9e","p73","<b><font size=6>Hair color is heritable.</font></b>","z","Genetics","Heritability","T","T","T","true","",""
"","2192","html-keyboard-response","51","2.0.0","226818","p1s0mtu3x9e","p73","<b><font size=6>A blue-eyed baby must have two blue-eyed parents.</font></b>","m","Genetics","Dominance","T","F","F","true","",""
"","2709","html-keyboard-response","52","2.0.0","230029","p1s0mtu3x9e","p73","<b><font size=6>Genes that code for eye color can be found in the eye.</font></b>","m","Genetics","Expression","T","T","T","false","",""
"","2762","html-keyboard-response","53","2.0.0","233293","p1s0mtu3x9e","p73","<b><font size=6>Radiation can change one's genome.</font></b>","z","Genetics","Mutation","T","T","T","true","",""
"","4834","html-keyboard-response","54","2.0.0","238629","p1s0mtu3x9e","p73","<b><font size=6>Men have more chromosomes than women.</font></b>","m","Genetics","Chromosome","F","F","F","true","",""
"","2810","html-keyboard-response","55","2.0.0","241942","p1s0mtu3x9e","p73","<b><font size=6>Two brown-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","T","T","T","true","",""
"","2622","html-keyboard-response","56","2.0.0","245066","p1s0mtu3x9e","p73","<b><font size=6>Humans have more chromosomes than mosquitoes.</font></b>","z","Genetics","Chromosome","T","T","T","true","",""
"","3056","html-keyboard-response","57","2.0.0","248624","p1s0mtu3x9e","p73","<b><font size=6>Genes that code for eye color can be found in hair.</font></b>","z","Genetics","Expression","F","F","F","false","",""
"","3929","html-keyboard-response","58","2.0.0","253055","p1s0mtu3x9e","p73","<b><font size=6>Two blue-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","F","F","F","false","",""
"","2922","html-keyboard-response","59","2.0.0","256480","p1s0mtu3x9e","p73","<b><font size=6>Exercise can change one's genome.</font></b>","m","Genetics","Mutation","T","F","F","true","",""
"","3105","html-keyboard-response","60","2.0.0","260086","p1s0mtu3x9e","p73","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","m","Genetics","Expression","T","F","F","true","",""
"","5301","html-keyboard-response","61","2.0.0","265890","p1s0mtu3x9e","p73","<b><font size=6>Two brown-eyed parents could have a blue-eyed baby.</font></b>","z","Genetics","Dominance","F","T","T","true","",""
"","1580","html-keyboard-response","62","2.0.0","267972","p1s0mtu3x9e","p73","<b><font size=6>Intelligence is heritable.</font></b>","z","Genetics","Heritability","F","T","T","true","",""
"","2753","html-keyboard-response","63","2.0.0","271227","p1s0mtu3x9e","p73","<b><font size=6>Adults have more chromosomes than children.</font></b>","m","Genetics","Chromosome","T","F","F","true","",""
"","1976","html-keyboard-response","64","2.0.0","273706","p1s0mtu3x9e","p73","<b><font size=6>Sunscreen can change one's genome.</font></b>","m","Genetics","Mutation","F","F","F","true","",""
"","1907","html-keyboard-response","65","2.0.0","276115","p1s0mtu3x9e","p73","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","m","Genetics","Heritability","T","F","F","true","",""
"","3337","html-keyboard-response","66","2.0.0","279954","p1s0mtu3x9e","p73","<b><font size=6>Viruses can change one's genome.</font></b>","z","Genetics","Mutation","F","T","T","true","",""
"","2722","html-keyboard-response","67","2.0.0","283178","p1s0mtu3x9e","p73","<b><font size=6>Genes that code for eye color can be found in the liver.</font></b>","m","Genetics","Expression","F","T","T","false","",""
"","null","html-keyboard-response","68","2.0.0","285382","p1s0mtu3x9e","p73","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Matter</font></b>","null","","","","","","","",""
"","3474","html-keyboard-response","69","2.0.0","289358","p1s0mtu3x9e","p73","<b><font size=6>A grain of sand can be cut in half.</font></b>","z","Matter","Divisibility","F","T","T","true","",""
"","2226","html-keyboard-response","70","2.0.0","292086","p1s0mtu3x9e","p73","<b><font size=6>Foam is denser than brick.</font></b>","m","Matter","Density","F","F","F","true","",""
"","3825","html-keyboard-response","71","2.0.0","296413","p1s0mtu3x9e","p73","<b><font size=6>A cold penny is denser than a hot penny.</font></b>","z","Matter","Density","F","T","T","true","",""
"","3769","html-keyboard-response","72","2.0.0","300684","p1s0mtu3x9e","p73","<b><font size=6>A liter of water weighs more than a liter of air.</font></b>","z","Matter","Weight","T","T","T","true","",""
"","4165","html-keyboard-response","73","2.0.0","305352","p1s0mtu3x9e","p73","<b><font size=6>Atoms are mostly empty space.</font></b>","m","Matter","Atom","F","T","T","false","",""
"","2032","html-keyboard-response","74","2.0.0","307886","p1s0mtu3x9e","p73","<b><font size=6>An idea can be cut in half.</font></b>","m","Matter","Divisibility","F","F","F","true","",""
"","5034","html-keyboard-response","75","2.0.0","313421","p1s0mtu3x9e","p73","<b><font size=6>A pound of steel weighs more than a ton of steel.</font></b>","m","Matter","Weight","F","F","F","true","",""
"","2446","html-keyboard-response","76","2.0.0","316370","p1s0mtu3x9e","p73","<b><font size=6>Ice is denser than water.</font></b>","z","Matter","Density","T","F","F","false","",""
"","3583","html-keyboard-response","77","2.0.0","320456","p1s0mtu3x9e","p73","<b><font size=6>Air is composed of matter.</font></b>","z","Matter","Mass","F","T","T","true","",""
"","1713","html-keyboard-response","78","2.0.0","322671","p1s0mtu3x9e","p73","<b><font size=6>Rocks are composed of matter.</font></b>","z","Matter","Mass","T","T","T","true","",""
"","4486","html-keyboard-response","79","2.0.0","327658","p1s0mtu3x9e","p73","<b><font size=6>A pound of steel weighs more than a pound of feathers.</font></b>","z","Matter","Weight","T","F","F","false","",""
"","4412","html-keyboard-response","80","2.0.0","332572","p1s0mtu3x9e","p73","<b><font size=6>A liter of water weighs more than a liter of ice.</font></b>","z","Matter","Weight","F","T","T","true","",""
"","2637","html-keyboard-response","81","2.0.0","335712","p1s0mtu3x9e","p73","<b><font size=6>Fire is composed of matter.</font></b>","m","Matter","Mass","T","F","F","true","",""
"","3090","html-keyboard-response","82","2.0.0","339304","p1s0mtu3x9e","p73","<b><font size=6>Steel is denser than foam.</font></b>","z","Matter","Density","T","T","T","true","",""
"","3316","html-keyboard-response","83","2.0.0","343122","p1s0mtu3x9e","p73","<b><font size=6>Numbers are composed of matter.</font></b>","m","Matter","Mass","F","F","F","true","",""
"","1394","html-keyboard-response","84","2.0.0","345019","p1s0mtu3x9e","p73","<b><font size=6>A shadow can be cut in half.</font></b>","m","Matter","Divisibility","T","F","F","true","",""
"","1841","html-keyboard-response","85","2.0.0","347362","p1s0mtu3x9e","p73","<b><font size=6>Atoms are visible to the naked eye.</font></b>","m","Matter","Atom","F","F","F","true","",""
"","2430","html-keyboard-response","86","2.0.0","350294","p1s0mtu3x9e","p73","<b><font size=6>A log can be cut in half.</font></b>","z","Matter","Divisibility","T","T","T","true","",""
"","2671","html-keyboard-response","87","2.0.0","353466","p1s0mtu3x9e","p73","<b><font size=6>Atoms are the constituents of matter.</font></b>","z","Matter","Atom","T","T","T","true","",""
"","2794","html-keyboard-response","88","2.0.0","356762","p1s0mtu3x9e","p73","<b><font size=6>Atoms are weightless.</font></b>","z","Matter","Atom","T","F","F","false","",""
"","null","html-keyboard-response","89","2.0.0","358966","p1s0mtu3x9e","p73","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Physiology</font></b>","null","","","","","","","",""
"","1214","html-keyboard-response","90","2.0.0","360683","p1s0mtu3x9e","p73","<b><font size=6>People turn food into energy.</font></b>","z","Physiology","Metabolism","T","T","T","true","",""
"","877","html-keyboard-response","91","2.0.0","362062","p1s0mtu3x9e","p73","<b><font size=6>Fish are alive.</font></b>","z","Physiology","Life","T","T","T","true","",""
