"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1036","fullscreen","0","null","2044","p5zy6swx4sf","otter","","","","","","","","","",""
"","1176","html-keyboard-response","1","2.0.0","3225","p5zy6swx4sf","otter","This trial will be in fullscreen mode. Press any key to begin.","m","","","","","","","",""
"","633","html-keyboard-response","2","2.0.0","4363","p5zy6swx4sf","otter","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","2490","survey-text","3","2.0.0","7376","p5zy6swx4sf","otter","","{""participant_id"":""otter""}","","","","","","","",""
"","167705","html-keyboard-response","4","2.0.0","214728","p5zy6swx4sf","otter","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>","j","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","216434","p5zy6swx4sf","otter","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Matter</font></b>","null","","","","","","","",""
"","7816","html-keyboard-response","6","2.0.0","224755","p5zy6swx4sf","otter","<b><font size=6>An idea can be cut in half.</font></b>","z","Matter","Divisibility","F","F","F","false","",""
"","6023","html-keyboard-response","7","2.0.0","231282","p5zy6swx4sf","otter","<b><font size=6>Atoms are weightless.</font></b>","m","Matter","Atom","T","F","F","true","",""
"","6196","html-keyboard-response","8","2.0.0","237982","p5zy6swx4sf","otter","<b><font size=6>A pound of steel weighs more than a ton of steel.</font></b>","m","Matter","Weight","F","F","F","true","",""
"","2013","html-keyboard-response","9","2.0.0","240499","p5zy6swx4sf","otter","<b><font size=6>A shadow can be cut in half.</font></b>","z","Matter","Divisibility","T","F","F","false","",""
"","1972","html-keyboard-response","10","2.0.0","242976","p5zy6swx4sf","otter","<b><font size=6>Fire is composed of matter.</font></b>","z","Matter","Mass","T","F","F","false","",""
"","3529","html-keyboard-response","11","2.0.0","247009","p5zy6swx4sf","otter","<b><font size=6>Atoms are mostly empty space.</font></b>","z","Matter","Atom","F","T","T","true","",""
"","1769","html-keyboard-response","12","2.0.0","249282","p5zy6swx4sf","otter","<b><font size=6>A log can be cut in half.</font></b>","z","Matter","Divisibility","T","T","T","true","",""
"","7380","html-keyboard-response","13","2.0.0","257166","p5zy6swx4sf","otter","<b><font size=6>A liter of water weighs more than a liter of air.</font></b>","z","Matter","Weight","T","T","T","true","",""
"","6560","html-keyboard-response","14","2.0.0","264230","p5zy6swx4sf","otter","<b><font size=6>A grain of sand can be cut in half.</font></b>","m","Matter","Divisibility","F","T","T","false","",""
"","5012","html-keyboard-response","15","2.0.0","269747","p5zy6swx4sf","otter","<b><font size=6>Atoms are visible to the naked eye.</font></b>","m","Matter","Atom","F","F","F","true","",""
"","4241","html-keyboard-response","16","2.0.0","274492","p5zy6swx4sf","otter","<b><font size=6>A liter of water weighs more than a liter of ice.</font></b>","m","Matter","Weight","F","T","T","false","",""
"","4214","html-keyboard-response","17","2.0.0","279209","p5zy6swx4sf","otter","<b><font size=6>Foam is denser than brick.</font></b>","m","Matter","Density","F","F","F","true","",""
"","2752","html-keyboard-response","18","2.0.0","282465","p5zy6swx4sf","otter","<b><font size=6>Atoms are the constituents of matter.</font></b>","m","Matter","Atom","T","T","T","false","",""
"","1870","html-keyboard-response","19","2.0.0","284838","p5zy6swx4sf","otter","<b><font size=6>Air is composed of matter.</font></b>","z","Matter","Mass","F","T","T","true","",""
"","2032","html-keyboard-response","20","2.0.0","287375","p5zy6swx4sf","otter","<b><font size=6>Numbers are composed of matter.</font></b>","m","Matter","Mass","F","F","F","true","",""
"","2823","html-keyboard-response","21","2.0.0","290701","p5zy6swx4sf","otter","<b><font size=6>Rocks are composed of matter.</font></b>","m","Matter","Mass","T","T","T","false","",""
"","2208","html-keyboard-response","22","2.0.0","293412","p5zy6swx4sf","otter","<b><font size=6>Ice is denser than water.</font></b>","m","Matter","Density","T","F","F","true","",""
"","4638","html-keyboard-response","23","2.0.0","298554","p5zy6swx4sf","otter","<b><font size=6>A cold penny is denser than a hot penny.</font></b>","m","Matter","Density","F","T","T","false","",""
"","1990","html-keyboard-response","24","2.0.0","301048","p5zy6swx4sf","otter","<b><font size=6>Steel is denser than foam.</font></b>","m","Matter","Density","T","T","T","false","",""
"","5111","html-keyboard-response","25","2.0.0","306663","p5zy6swx4sf","otter","<b><font size=6>A pound of steel weighs more than a pound of feathers.</font></b>","m","Matter","Weight","T","F","F","true","",""
"","null","html-keyboard-response","26","2.0.0","308866","p5zy6swx4sf","otter","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Fractions</font></b>","null","","","","","","","",""
"","9091","html-keyboard-response","27","2.0.0","318459","p5zy6swx4sf","otter","<b><font size=6>There are numbers between 10 and 10.</font></b>","m","Fractions","Infinite density","F","F","F","true","",""
"","3223","html-keyboard-response","28","2.0.0","322194","p5zy6swx4sf","otter","<b><font size=6>1/3 plus 1/3 is 1/3.</font></b>","m","Fractions","Addition","F","F","F","true","",""
"","3672","html-keyboard-response","29","2.0.0","326372","p5zy6swx4sf","otter","<b><font size=6>1/17 is greater than 16/17.</font></b>","z","Fractions","Ordering","F","F","F","false","",""
"","1936","html-keyboard-response","30","2.0.0","328813","p5zy6swx4sf","otter","<b><font size=6>There are numbers between 1 and 3.</font></b>","z","Fractions","Infinite density","T","T","T","true","",""
"","10150","html-keyboard-response","31","2.0.0","339467","p5zy6swx4sf","otter","<b><font size=6>8 divided by 1/2 is 4.</font></b>","z","Fractions","Division","T","F","F","false","",""
"","2521","html-keyboard-response","32","2.0.0","342492","p5zy6swx4sf","otter","<b><font size=6>8 divided by 2/1 is 3.</font></b>","m","Fractions","Division","F","F","F","true","",""
"","3716","html-keyboard-response","33","2.0.0","346713","p5zy6swx4sf","otter","<b><font size=6>All integers are expressible as fractions.</font></b>","m","Fractions","Conversion","F","T","T","false","",""
"","4912","html-keyboard-response","34","2.0.0","352128","p5zy6swx4sf","otter","<b><font size=6>There are numbers between 1/10 and 10/100.</font></b>","m","Fractions","Infinite density","T","F","F","true","",""
"","2877","html-keyboard-response","35","2.0.0","355509","p5zy6swx4sf","otter","<b><font size=6>1/10 plus 1/10 is 1/5.</font></b>","m","Fractions","Addition","F","T","T","false","",""
"","15277","html-keyboard-response","36","2.0.0","371288","p5zy6swx4sf","otter","<b><font size=6>All fractions are expressible as decimals.</font></b>","m","Fractions","Conversion","T","F","F","true","",""
"","7500","html-keyboard-response","37","2.0.0","379293","p5zy6swx4sf","otter","<b><font size=6>12/13 is greater than 1/13.</font></b>","m","Fractions","Ordering","T","T","T","false","",""
"","838","html-keyboard-response","38","2.0.0","380635","p5zy6swx4sf","otter","<b><font size=6>1/13 is greater than 1/30.</font></b>","m","Fractions","Ordering","F","T","T","false","",""
"","1443","html-keyboard-response","39","2.0.0","382580","p5zy6swx4sf","otter","<b><font size=6>There are numbers between 1/3 and 1/2.</font></b>","m","Fractions","Infinite density","F","T","T","false","",""
"","2103","html-keyboard-response","40","2.0.0","385186","p5zy6swx4sf","otter","<b><font size=6>4 divided by 1/2 is 8.</font></b>","m","Fractions","Division","F","T","T","false","",""
"","33818","html-keyboard-response","41","2.0.0","419506","p5zy6swx4sf","otter","<b><font size=6>1/3 plus 1/3 is 2/3.</font></b>","m","Fractions","Addition","T","T","T","false","",""
"","17055","html-keyboard-response","42","2.0.0","437064","p5zy6swx4sf","otter","<b><font size=6>All fractions are expressible as integers.</font></b>","m","Fractions","Conversion","F","F","F","true","",""
"","5944","html-keyboard-response","43","2.0.0","443512","p5zy6swx4sf","otter","<b><font size=6>All decimals are expressible as fractions.</font></b>","m","Fractions","Conversion","T","T","T","false","",""
"","5833","html-keyboard-response","44","2.0.0","449848","p5zy6swx4sf","otter","<b><font size=6>4 divided by 2/1 is 2.</font></b>","m","Fractions","Division","T","T","T","false","",""
"","2054","html-keyboard-response","45","2.0.0","452406","p5zy6swx4sf","otter","<b><font size=6>1/17 is greater than 1/9.</font></b>","m","Fractions","Ordering","T","F","F","true","",""
"","1060","html-keyboard-response","46","2.0.0","453970","p5zy6swx4sf","otter","<b><font size=6>2/3 plus 2/4 is 2/7.</font></b>","m","Fractions","Addition","T","F","F","true","",""
"","null","html-keyboard-response","47","2.0.0","456173","p5zy6swx4sf","otter","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","null","","","","","","","",""
"","3583","html-keyboard-response","48","2.0.0","460259","p5zy6swx4sf","otter","<b><font size=6>Viruses can change one's genome.</font></b>","m","Genetics","Mutation","F","T","T","false","",""
"","2595","html-keyboard-response","49","2.0.0","463357","p5zy6swx4sf","otter","<b><font size=6>Genes that code for eye color can be found in hair.</font></b>","z","Genetics","Expression","F","F","F","false","",""
"","3425","html-keyboard-response","50","2.0.0","467286","p5zy6swx4sf","otter","<b><font size=6>Two brown-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","T","T","T","true","",""
"","14499","html-keyboard-response","51","2.0.0","482288","p5zy6swx4sf","otter","<b><font size=6>Genes that code for eye color can be found in the liver.</font></b>","m","Genetics","Expression","F","T","T","false","",""
"","44730","html-keyboard-response","52","2.0.0","527521","p5zy6swx4sf","otter","<b><font size=6>Two blue-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","F","F","F","false","",""
"","2882","html-keyboard-response","53","2.0.0","530908","p5zy6swx4sf","otter","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","m","Genetics","Heritability","T","F","F","true","",""
"","1837","html-keyboard-response","54","2.0.0","533248","p5zy6swx4sf","otter","<b><font size=6>Intelligence is heritable.</font></b>","m","Genetics","Heritability","F","T","T","false","",""
"","2215","html-keyboard-response","55","2.0.0","535966","p5zy6swx4sf","otter","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","m","Genetics","Chromosome","F","T","T","false","",""
"","3301","html-keyboard-response","56","2.0.0","539771","p5zy6swx4sf","otter","<b><font size=6>Adults have more chromosomes than children.</font></b>","m","Genetics","Chromosome","T","F","F","true","",""
"","1369","html-keyboard-response","57","2.0.0","541643","p5zy6swx4sf","otter","<b><font size=6>Hair color is heritable.</font></b>","z","Genetics","Heritability","T","T","T","true","",""
"","1397","html-keyboard-response","58","2.0.0","543542","p5zy6swx4sf","otter","<b><font size=6>Sunscreen can change one's genome.</font></b>","m","Genetics","Mutation","F","F","F","true","",""
"","1713","html-keyboard-response","59","2.0.0","545759","p5zy6swx4sf","otter","<b><font size=6>Exercise can change one's genome.</font></b>","z","Genetics","Mutation","T","F","F","false","",""
"","4958","html-keyboard-response","60","2.0.0","551219","p5zy6swx4sf","otter","<b><font size=6>A blue-eyed baby must have two blue-eyed parents.</font></b>","m","Genetics","Dominance","T","F","F","true","",""
"","1715","html-keyboard-response","61","2.0.0","553438","p5zy6swx4sf","otter","<b><font size=6>Genes that code for eye color can be found in the eye.</font></b>","z","Genetics","Expression","T","T","T","true","",""
"","1644","html-keyboard-response","62","2.0.0","555588","p5zy6swx4sf","otter","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","m","Genetics","Expression","T","F","F","true","",""
