"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","2460","fullscreen","0","null","3475","p6yyn2ezwzu","rhino","","","","","","","","","",""
"","1455","html-keyboard-response","1","2.0.0","4932","p6yyn2ezwzu","rhino","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","1103","html-keyboard-response","2","2.0.0","6545","p6yyn2ezwzu","rhino","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","2390","survey-text","3","2.0.0","9448","p6yyn2ezwzu","rhino","","{""participant_id"":""rhino""}","","","","","","","",""
"","8314","html-keyboard-response","4","2.0.0","18267","p6yyn2ezwzu","rhino","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","19978","p6yyn2ezwzu","rhino","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Matter</font></b>","null","","","","","","","",""
"","1586","html-keyboard-response","6","2.0.0","22074","p6yyn2ezwzu","rhino","<b><font size=6>Rocks are composed of matter.</font></b>","z","Matter","Mass","T","T","T","true","",""
"","2191","html-keyboard-response","7","2.0.0","24774","p6yyn2ezwzu","rhino","<b><font size=6>Steel is denser than foam.</font></b>","z","Matter","Density","T","T","T","true","",""
"","2984","html-keyboard-response","8","2.0.0","28263","p6yyn2ezwzu","rhino","<b><font size=6>A liter of water weighs more than a liter of air.</font></b>","m","Matter","Weight","T","T","T","false","",""
"","3006","html-keyboard-response","9","2.0.0","31784","p6yyn2ezwzu","rhino","<b><font size=6>Ice is denser than water.</font></b>","z","Matter","Density","T","F","F","false","",""
"","1605","html-keyboard-response","10","2.0.0","33896","p6yyn2ezwzu","rhino","<b><font size=6>Fire is composed of matter.</font></b>","z","Matter","Mass","T","F","F","false","",""
"","1676","html-keyboard-response","11","2.0.0","36077","p6yyn2ezwzu","rhino","<b><font size=6>Foam is denser than brick.</font></b>","m","Matter","Density","F","F","F","true","",""
"","6224","html-keyboard-response","12","2.0.0","42805","p6yyn2ezwzu","rhino","<b><font size=6>A shadow can be cut in half.</font></b>","z","Matter","Divisibility","T","F","F","false","",""
"","1910","html-keyboard-response","13","2.0.0","45224","p6yyn2ezwzu","rhino","<b><font size=6>Atoms are the constituents of matter.</font></b>","z","Matter","Atom","T","T","T","true","",""
"","6088","html-keyboard-response","14","2.0.0","51820","p6yyn2ezwzu","rhino","<b><font size=6>An idea can be cut in half.</font></b>","z","Matter","Divisibility","F","F","F","false","",""
"","2578","html-keyboard-response","15","2.0.0","54915","p6yyn2ezwzu","rhino","<b><font size=6>A log can be cut in half.</font></b>","z","Matter","Divisibility","T","T","T","true","",""
"","1929","html-keyboard-response","16","2.0.0","57351","p6yyn2ezwzu","rhino","<b><font size=6>A pound of steel weighs more than a pound of feathers.</font></b>","m","Matter","Weight","T","F","F","true","",""
"","2297","html-keyboard-response","17","2.0.0","60162","p6yyn2ezwzu","rhino","<b><font size=6>A pound of steel weighs more than a ton of steel.</font></b>","m","Matter","Weight","F","F","F","true","",""
"","2411","html-keyboard-response","18","2.0.0","63086","p6yyn2ezwzu","rhino","<b><font size=6>A liter of water weighs more than a liter of ice.</font></b>","m","Matter","Weight","F","T","T","false","",""
"","2248","html-keyboard-response","19","2.0.0","65840","p6yyn2ezwzu","rhino","<b><font size=6>Atoms are weightless.</font></b>","m","Matter","Atom","T","F","F","true","",""
"","3565","html-keyboard-response","20","2.0.0","69916","p6yyn2ezwzu","rhino","<b><font size=6>Atoms are visible to the naked eye.</font></b>","m","Matter","Atom","F","F","F","true","",""
"","3529","html-keyboard-response","21","2.0.0","73952","p6yyn2ezwzu","rhino","<b><font size=6>Atoms are mostly empty space.</font></b>","m","Matter","Atom","F","T","T","false","",""
