"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","10325","fullscreen","0","null","11329","pa5pn7qds5b","  antelope","","","","","","","","","",""
"","2629","html-keyboard-response","1","2.0.0","13960","pa5pn7qds5b","  antelope","This trial will be in fullscreen mode. Press any key to begin.","n","","","","","","","",""
"","1541","html-keyboard-response","2","2.0.0","16003","pa5pn7qds5b","  antelope","Welcome to the experiment. Press any key to begin.","n","","","","","","","",""
"","17622","survey-text","3","2.0.0","34129","pa5pn7qds5b","  antelope","","{""participant_id"":""  antelope""}","","","","","","","",""
"","22572","html-keyboard-response","4","2.0.0","57203","pa5pn7qds5b","  antelope","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>","k","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","58907","pa5pn7qds5b","  antelope","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Fractions</font></b>","null","","","","","","","",""
"","6180","html-keyboard-response","6","2.0.0","65590","pa5pn7qds5b","  antelope","<b><font size=6>There are numbers between 10 and 10.</font></b>","z","Fractions","Infinite density","F","F","F","false","",""
"","6302","html-keyboard-response","7","2.0.0","72394","pa5pn7qds5b","  antelope","<b><font size=6>1/3 plus 1/3 is 1/3.</font></b>","m","Fractions","Addition","F","F","F","true","",""
"","7863","html-keyboard-response","8","2.0.0","80759","pa5pn7qds5b","  antelope","<b><font size=6>12/13 is greater than 1/13.</font></b>","z","Fractions","Ordering","T","T","T","true","",""
"","4406","html-keyboard-response","9","2.0.0","85667","pa5pn7qds5b","  antelope","<b><font size=6>All fractions are expressible as decimals.</font></b>","z","Fractions","Conversion","T","F","F","false","",""
"","34932","html-keyboard-response","10","2.0.0","121099","pa5pn7qds5b","  antelope","<b><font size=6>4 divided by 1/2 is 8.</font></b>","z","Fractions","Division","F","T","T","true","",""
"","9064","html-keyboard-response","11","2.0.0","130664","pa5pn7qds5b","  antelope","<b><font size=6>All fractions are expressible as integers.</font></b>","z","Fractions","Conversion","F","F","F","false","",""
"","50640","html-keyboard-response","12","2.0.0","181804","pa5pn7qds5b","  antelope","<b><font size=6>2/3 plus 2/4 is 2/7.</font></b>","m","Fractions","Addition","T","F","F","true","",""
