"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","3425","fullscreen","0","null","4437","pakjepqn613","falcon","","","","","","","","","",""
"","1604","html-keyboard-response","1","2.0.0","6044","pakjepqn613","falcon","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","736","html-keyboard-response","2","2.0.0","7283","pakjepqn613","falcon","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","3079","survey-text","3","2.0.0","10868","pakjepqn613","falcon","","{""participant_id"":""falcon""}","","","","","","","",""
"","13453","html-keyboard-response","4","2.0.0","24823","pakjepqn613","falcon","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","26528","pakjepqn613","falcon","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Matter</font></b>","null","","","","","","","",""
"","8639","html-keyboard-response","6","2.0.0","35671","pakjepqn613","falcon","<b><font size=6>A grain of sand can be cut in half.</font></b>","m","Matter","Divisibility","F","T","T","false","",""
"","2897","html-keyboard-response","7","2.0.0","39071","pakjepqn613","falcon","<b><font size=6>Rocks are composed of matter.</font></b>","z","Matter","Mass","T","T","T","true","",""
"","12290","html-keyboard-response","8","2.0.0","51862","pakjepqn613","falcon","<b><font size=6>A pound of steel weighs more than a pound of feathers.</font></b>","m","Matter","Weight","T","F","F","true","",""
"","2615","html-keyboard-response","9","2.0.0","54980","pakjepqn613","falcon","<b><font size=6>Atoms are weightless.</font></b>","z","Matter","Atom","T","F","F","false","",""
"","1822","html-keyboard-response","10","2.0.0","57304","pakjepqn613","falcon","<b><font size=6>Fire is composed of matter.</font></b>","m","Matter","Mass","T","F","F","true","",""
"","4228","html-keyboard-response","11","2.0.0","62035","pakjepqn613","falcon","<b><font size=6>Atoms are visible to the naked eye.</font></b>","m","Matter","Atom","F","F","F","true","",""
"","5867","html-keyboard-response","12","2.0.0","68404","pakjepqn613","falcon","<b><font size=6>Foam is denser than brick.</font></b>","m","Matter","Density","F","F","F","true","",""
"","3162","html-keyboard-response","13","2.0.0","72068","pakjepqn613","falcon","<b><font size=6>Steel is denser than foam.</font></b>","z","Matter","Density","T","T","T","true","",""
