"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1156","fullscreen","0","null","2185","pbosng80736","moose","","","","","","","","","",""
"","1006","html-keyboard-response","1","2.0.0","3196","pbosng80736","moose","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","1174","html-keyboard-response","2","2.0.0","4873","pbosng80736","moose","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","3543","survey-text","3","2.0.0","8938","pbosng80736","moose","","{""participant_id"":""moose""}","","","","","","","",""
"","12652","html-keyboard-response","4","2.0.0","22100","pbosng80736","moose","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","23815","pbosng80736","moose","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","6231","html-keyboard-response","6","2.0.0","30551","pbosng80736","moose","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","10259","html-keyboard-response","7","2.0.0","41316","pbosng80736","moose","<b><font size=6>Sound travels through air.</font></b>","z","Waves","Propagation","T","T","T","true","",""
"","2895","html-keyboard-response","8","2.0.0","44719","pbosng80736","moose","<b><font size=6>Red objects absorb blue light.</font></b>","z","Waves","Color","F","T","T","true","",""
"","2299","html-keyboard-response","9","2.0.0","47525","pbosng80736","moose","<b><font size=6>Sound travels through foam.</font></b>","z","Waves","Propagation","F","F","F","false","",""
"","6577","html-keyboard-response","10","2.0.0","54607","pbosng80736","moose","<b><font size=6>Shadows contain all colors of light.</font></b>","z","Waves","Light","F","F","F","false","",""
"","1875","html-keyboard-response","11","2.0.0","56988","pbosng80736","moose","<b><font size=6>Sounds can be dead or alive.</font></b>","m","Waves","Sound","F","F","F","true","",""
"","1385","html-keyboard-response","12","2.0.0","58877","pbosng80736","moose","<b><font size=6>Sounds can be near or far.</font></b>","z","Waves","Sound","T","F","F","false","",""
"","3424","html-keyboard-response","13","2.0.0","62815","pbosng80736","moose","<b><font size=6>Rainbows contain all colors of light.</font></b>","z","Waves","Light","T","T","T","true","",""
"","4461","html-keyboard-response","14","2.0.0","67778","pbosng80736","moose","<b><font size=6>Sound travels through a vacuum.</font></b>","z","Waves","Propagation","T","F","F","false","",""
"","2145","html-keyboard-response","15","2.0.0","70433","pbosng80736","moose","<b><font size=6>Mirrors reflect sound.</font></b>","m","Waves","Reflection","F","T","T","false","",""
"","15925","html-keyboard-response","16","2.0.0","86872","pbosng80736","moose","<b><font size=6>Black objects reflect all colors of light.</font></b>","m","Waves","Light","T","F","F","true","",""
"","3129","html-keyboard-response","17","2.0.0","90514","pbosng80736","moose","<b><font size=6>Red objects reflect red light.</font></b>","z","Waves","Color","T","T","T","true","",""
"","1240","html-keyboard-response","18","2.0.0","92256","pbosng80736","moose","<b><font size=6>Red objects reflect blue light.</font></b>","m","Waves","Color","F","F","F","true","",""
