"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","13781","fullscreen","0","null","14791","pf7cg35kz9h","koala","","","","","","","","","",""
"","1010","html-keyboard-response","1","2.0.0","15803","pf7cg35kz9h","koala","This trial will be in fullscreen mode. Press any key to begin.","f","","","","","","","",""
"","712","html-keyboard-response","2","2.0.0","17027","pf7cg35kz9h","koala","Welcome to the experiment. Press any key to begin.","k","","","","","","","",""
"","6884","survey-text","3","2.0.0","24429","pf7cg35kz9h","koala","","{""participant_id"":""koala""}","","","","","","","",""
"","40194","html-keyboard-response","4","2.0.0","65131","pf7cg35kz9h","koala","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","66849","pf7cg35kz9h","koala","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Fractions</font></b>","null","","","","","","","",""
"","12018","html-keyboard-response","6","2.0.0","79382","pf7cg35kz9h","koala","<b><font size=6>There are numbers between 1 and 3.</font></b>","z","Fractions","Infinite density","T","T","T","true","",""
"","6991","html-keyboard-response","7","2.0.0","86882","pf7cg35kz9h","koala","<b><font size=6>1/10 plus 1/10 is 1/5.</font></b>","z","Fractions","Addition","F","T","T","true","",""
"","3808","html-keyboard-response","8","2.0.0","91201","pf7cg35kz9h","koala","<b><font size=6>All fractions are expressible as integers.</font></b>","m","Fractions","Conversion","F","F","F","true","",""
"","3851","html-keyboard-response","9","2.0.0","95563","pf7cg35kz9h","koala","<b><font size=6>1/3 plus 1/3 is 2/3.</font></b>","z","Fractions","Addition","T","T","T","true","",""
"","5914","html-keyboard-response","10","2.0.0","101986","pf7cg35kz9h","koala","<b><font size=6>1/17 is greater than 1/9.</font></b>","m","Fractions","Ordering","T","F","F","true","",""
"","2161","html-keyboard-response","11","2.0.0","104655","pf7cg35kz9h","koala","<b><font size=6>1/3 plus 1/3 is 1/3.</font></b>","m","Fractions","Addition","F","F","F","true","",""
"","2759","html-keyboard-response","12","2.0.0","107929","pf7cg35kz9h","koala","<b><font size=6>All decimals are expressible as fractions.</font></b>","m","Fractions","Conversion","T","T","T","false","",""
"","10909","html-keyboard-response","13","2.0.0","119344","pf7cg35kz9h","koala","<b><font size=6>2/3 plus 2/4 is 2/7.</font></b>","m","Fractions","Addition","T","F","F","true","",""
"","4903","html-keyboard-response","14","2.0.0","124754","pf7cg35kz9h","koala","<b><font size=6>4 divided by 2/1 is 2.</font></b>","z","Fractions","Division","T","T","T","true","",""
"","3949","html-keyboard-response","15","2.0.0","129220","pf7cg35kz9h","koala","<b><font size=6>8 divided by 1/2 is 4.</font></b>","m","Fractions","Division","T","F","F","true","",""
"","4343","html-keyboard-response","16","2.0.0","134076","pf7cg35kz9h","koala","<b><font size=6>All fractions are expressible as decimals.</font></b>","z","Fractions","Conversion","T","F","F","false","",""
"","3487","html-keyboard-response","17","2.0.0","138076","pf7cg35kz9h","koala","<b><font size=6>There are numbers between 1/3 and 1/2.</font></b>","z","Fractions","Infinite density","F","T","T","true","",""
"","3415","html-keyboard-response","18","2.0.0","142000","pf7cg35kz9h","koala","<b><font size=6>There are numbers between 1/10 and 10/100.</font></b>","z","Fractions","Infinite density","T","F","F","false","",""
"","9211","html-keyboard-response","19","2.0.0","151716","pf7cg35kz9h","koala","<b><font size=6>All integers are expressible as fractions.</font></b>","z","Fractions","Conversion","F","T","T","true","",""
"","2725","html-keyboard-response","20","2.0.0","154947","pf7cg35kz9h","koala","<b><font size=6>12/13 is greater than 1/13.</font></b>","z","Fractions","Ordering","T","T","T","true","",""
"","9935","html-keyboard-response","21","2.0.0","165385","pf7cg35kz9h","koala","<b><font size=6>There are numbers between 10 and 10.</font></b>","m","Fractions","Infinite density","F","F","F","true","",""
"","5739","html-keyboard-response","22","2.0.0","171635","pf7cg35kz9h","koala","<b><font size=6>8 divided by 2/1 is 3.</font></b>","m","Fractions","Division","F","F","F","true","",""
"","3332","html-keyboard-response","23","2.0.0","175480","pf7cg35kz9h","koala","<b><font size=6>4 divided by 1/2 is 8.</font></b>","z","Fractions","Division","F","T","T","true","",""
"","2131","html-keyboard-response","24","2.0.0","178127","pf7cg35kz9h","koala","<b><font size=6>1/13 is greater than 1/30.</font></b>","z","Fractions","Ordering","F","T","T","true","",""
"","3907","html-keyboard-response","25","2.0.0","182545","pf7cg35kz9h","koala","<b><font size=6>1/17 is greater than 16/17.</font></b>","m","Fractions","Ordering","F","F","F","true","",""
"","null","html-keyboard-response","26","2.0.0","184767","pf7cg35kz9h","koala","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Matter</font></b>","null","","","","","","","",""
"","3186","html-keyboard-response","27","2.0.0","188468","pf7cg35kz9h","koala","<b><font size=6>A grain of sand can be cut in half.</font></b>","z","Matter","Divisibility","F","T","T","true","",""
"","2361","html-keyboard-response","28","2.0.0","191331","pf7cg35kz9h","koala","<b><font size=6>An idea can be cut in half.</font></b>","m","Matter","Divisibility","F","F","F","true","",""
"","10484","html-keyboard-response","29","2.0.0","202325","pf7cg35kz9h","koala","<b><font size=6>A cold penny is denser than a hot penny.</font></b>","z","Matter","Density","F","T","T","true","",""
"","2876","html-keyboard-response","30","2.0.0","205706","pf7cg35kz9h","koala","<b><font size=6>Foam is denser than brick.</font></b>","m","Matter","Density","F","F","F","true","",""
"","4644","html-keyboard-response","31","2.0.0","210856","pf7cg35kz9h","koala","<b><font size=6>Atoms are the constituents of matter.</font></b>","z","Matter","Atom","T","T","T","true","",""
"","8407","html-keyboard-response","32","2.0.0","219779","pf7cg35kz9h","koala","<b><font size=6>A liter of water weighs more than a liter of ice.</font></b>","z","Matter","Weight","F","T","T","true","",""
"","4822","html-keyboard-response","33","2.0.0","225104","pf7cg35kz9h","koala","<b><font size=6>A pound of steel weighs more than a ton of steel.</font></b>","m","Matter","Weight","F","F","F","true","",""
"","3525","html-keyboard-response","34","2.0.0","229145","pf7cg35kz9h","koala","<b><font size=6>Atoms are mostly empty space.</font></b>","z","Matter","Atom","F","T","T","true","",""
"","4839","html-keyboard-response","35","2.0.0","234493","pf7cg35kz9h","koala","<b><font size=6>Air is composed of matter.</font></b>","z","Matter","Mass","F","T","T","true","",""
"","4652","html-keyboard-response","36","2.0.0","239657","pf7cg35kz9h","koala","<b><font size=6>Ice is denser than water.</font></b>","z","Matter","Density","T","F","F","false","",""
"","6815","html-keyboard-response","37","2.0.0","246988","pf7cg35kz9h","koala","<b><font size=6>A pound of steel weighs more than a pound of feathers.</font></b>","m","Matter","Weight","T","F","F","true","",""
"","7980","html-keyboard-response","38","2.0.0","255480","pf7cg35kz9h","koala","<b><font size=6>Numbers are composed of matter.</font></b>","m","Matter","Mass","F","F","F","true","",""
"","4090","html-keyboard-response","39","2.0.0","260087","pf7cg35kz9h","koala","<b><font size=6>Atoms are weightless.</font></b>","m","Matter","Atom","T","F","F","true","",""
"","2176","html-keyboard-response","40","2.0.0","262774","pf7cg35kz9h","koala","<b><font size=6>Rocks are composed of matter.</font></b>","z","Matter","Mass","T","T","T","true","",""
"","2326","html-keyboard-response","41","2.0.0","265614","pf7cg35kz9h","koala","<b><font size=6>Atoms are visible to the naked eye.</font></b>","m","Matter","Atom","F","F","F","true","",""
"","2693","html-keyboard-response","42","2.0.0","268812","pf7cg35kz9h","koala","<b><font size=6>Steel is denser than foam.</font></b>","z","Matter","Density","T","T","T","true","",""
"","2658","html-keyboard-response","43","2.0.0","271971","pf7cg35kz9h","koala","<b><font size=6>A liter of water weighs more than a liter of air.</font></b>","m","Matter","Weight","T","T","T","false","",""
"","4499","html-keyboard-response","44","2.0.0","276986","pf7cg35kz9h","koala","<b><font size=6>Fire is composed of matter.</font></b>","z","Matter","Mass","T","F","F","false","",""
"","2338","html-keyboard-response","45","2.0.0","279840","pf7cg35kz9h","koala","<b><font size=6>A log can be cut in half.</font></b>","z","Matter","Divisibility","T","T","T","true","",""
"","1350","html-keyboard-response","46","2.0.0","281699","pf7cg35kz9h","koala","<b><font size=6>A shadow can be cut in half.</font></b>","m","Matter","Divisibility","T","F","F","true","",""
