"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1019","fullscreen","0","null","2027","pmojvbh3cac","squirrel","","","","","","","","","",""
"","1024","html-keyboard-response","1","2.0.0","3055","pmojvbh3cac","squirrel","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","510","html-keyboard-response","2","2.0.0","4068","pmojvbh3cac","squirrel","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","5578","survey-text","3","2.0.0","10152","pmojvbh3cac","squirrel","","{""participant_id"":""squirrel""}","","","","","","","",""
"","8279","html-keyboard-response","4","2.0.0","18934","pmojvbh3cac","squirrel","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","20638","pmojvbh3cac","squirrel","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","2354","html-keyboard-response","6","2.0.0","23496","pmojvbh3cac","squirrel","<b><font size=6>Red objects reflect red light.</font></b>","z","Waves","Color","T","T","T","true","",""
"","1758","html-keyboard-response","7","2.0.0","25756","pmojvbh3cac","squirrel","<b><font size=6>Sounds can be near or far.</font></b>","z","Waves","Sound","T","F","F","false","",""
"","1322","html-keyboard-response","8","2.0.0","27581","pmojvbh3cac","squirrel","<b><font size=6>Sounds can be loud or quiet.</font></b>","z","Waves","Sound","T","T","T","true","",""
"","4899","html-keyboard-response","9","2.0.0","32982","pmojvbh3cac","squirrel","<b><font size=6>Sound travels through air.</font></b>","z","Waves","Propagation","T","T","T","true","",""
"","2109","html-keyboard-response","10","2.0.0","35594","pmojvbh3cac","squirrel","<b><font size=6>White light contains all colors of light.</font></b>","m","Waves","Light","F","T","T","false","",""
"","4202","html-keyboard-response","11","2.0.0","40299","pmojvbh3cac","squirrel","<b><font size=6>Sound travels through foam.</font></b>","m","Waves","Propagation","F","F","F","true","",""
"","1910","html-keyboard-response","12","2.0.0","42711","pmojvbh3cac","squirrel","<b><font size=6>Mirrors reflect sound.</font></b>","z","Waves","Reflection","F","T","T","true","",""
"","4862","html-keyboard-response","13","2.0.0","48075","pmojvbh3cac","squirrel","<b><font size=6>Red objects absorb red light.</font></b>","z","Waves","Color","T","F","F","false","",""
"","1230","html-keyboard-response","14","2.0.0","49807","pmojvbh3cac","squirrel","<b><font size=6>Rainbows contain all colors of light.</font></b>","z","Waves","Light","T","T","T","true","",""
"","3567","html-keyboard-response","15","2.0.0","53876","pmojvbh3cac","squirrel","<b><font size=6>Sound travels through a vacuum.</font></b>","z","Waves","Propagation","T","F","F","false","",""
"","2446","html-keyboard-response","16","2.0.0","56824","pmojvbh3cac","squirrel","<b><font size=6>Sound travels through metal.</font></b>","m","Waves","Propagation","F","T","T","false","",""
"","1252","html-keyboard-response","17","2.0.0","58579","pmojvbh3cac","squirrel","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","2385","html-keyboard-response","18","2.0.0","61467","pmojvbh3cac","squirrel","<b><font size=6>Red objects absorb blue light.</font></b>","m","Waves","Color","F","T","T","false","",""
"","5200","html-keyboard-response","19","2.0.0","67169","pmojvbh3cac","squirrel","<b><font size=6>Shadows contain all colors of light.</font></b>","m","Waves","Light","F","F","F","true","",""
"","2024","html-keyboard-response","20","2.0.0","69695","pmojvbh3cac","squirrel","<b><font size=6>Foam reflects sound.</font></b>","m","Waves","Reflection","F","F","F","true","",""
"","1560","html-keyboard-response","21","2.0.0","71757","pmojvbh3cac","squirrel","<b><font size=6>Red objects reflect blue light.</font></b>","m","Waves","Color","F","F","F","true","",""
"","2146","html-keyboard-response","22","2.0.0","74405","pmojvbh3cac","squirrel","<b><font size=6>Prisms reflect light.</font></b>","z","Waves","Reflection","T","F","F","false","",""
"","2382","html-keyboard-response","23","2.0.0","77289","pmojvbh3cac","squirrel","<b><font size=6>Sounds can be dead or alive.</font></b>","m","Waves","Sound","F","F","F","true","",""
"","955","html-keyboard-response","24","2.0.0","78746","pmojvbh3cac","squirrel","<b><font size=6>Mirrors reflect light.</font></b>","z","Waves","Reflection","T","T","T","true","",""
