"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","3106","fullscreen","0","null","4110","pmqlfr9463w","raccoon","","","","","","","","","",""
"","1609","html-keyboard-response","1","2.0.0","5720","pmqlfr9463w","raccoon","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","875","html-keyboard-response","2","2.0.0","7096","pmqlfr9463w","raccoon","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","3029","survey-text","3","2.0.0","10640","pmqlfr9463w","raccoon","","{""participant_id"":""raccoon""}","","","","","","","",""
"","764","html-keyboard-response","4","2.0.0","11912","pmqlfr9463w","raccoon","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>","q","","","","","","","",""
"","680","html-keyboard-response","5","2.0.0","12592","pmqlfr9463w","raccoon","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","q","","","","","","","",""
"","1427","html-keyboard-response","6","2.0.0","14528","pmqlfr9463w","raccoon","<b><font size=6>Sunscreen can change one's genome.</font></b>","z","Genetics","Mutation","F","F","F","false","",""
"","1653","html-keyboard-response","7","2.0.0","16688","pmqlfr9463w","raccoon","<b><font size=6>Genes that code for eye color can be found in the eye.</font></b>","z","Genetics","Expression","T","T","T","true","",""
"","934","html-keyboard-response","8","2.0.0","18136","pmqlfr9463w","raccoon","<b><font size=6>Hair color is heritable.</font></b>","z","Genetics","Heritability","T","T","T","true","",""
"","629","html-keyboard-response","9","2.0.0","19280","pmqlfr9463w","raccoon","<b><font size=6>Viruses can change one's genome.</font></b>","m","Genetics","Mutation","F","T","T","false","",""
"","204","html-keyboard-response","10","2.0.0","20000","pmqlfr9463w","raccoon","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","z","Genetics","Heritability","T","F","F","false","",""
"","181","html-keyboard-response","11","2.0.0","20696","pmqlfr9463w","raccoon","<b><font size=6>Men have more chromosomes than women.</font></b>","m","Genetics","Chromosome","F","F","F","true","",""
"","70","html-keyboard-response","12","2.0.0","21280","pmqlfr9463w","raccoon","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","m","Genetics","Chromosome","F","T","T","false","",""
"","66","html-keyboard-response","13","2.0.0","21848","pmqlfr9463w","raccoon","<b><font size=6>Two brown-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","T","T","T","true","",""
"","46","html-keyboard-response","14","2.0.0","22400","pmqlfr9463w","raccoon","<b><font size=6>Genes that code for eye color can be found in hair.</font></b>","z","Genetics","Expression","F","F","F","false","",""
"","30","html-keyboard-response","15","2.0.0","22936","pmqlfr9463w","raccoon","<b><font size=6>Two brown-eyed parents could have a blue-eyed baby.</font></b>","z","Genetics","Dominance","F","T","T","true","",""
"","51","html-keyboard-response","16","2.0.0","23496","pmqlfr9463w","raccoon","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","z","Genetics","Expression","T","F","F","false","",""
"","113","html-keyboard-response","17","2.0.0","24112","pmqlfr9463w","raccoon","<b><font size=6>Two blue-eyed parents could have a brown-eyed baby.</font></b>","m","Genetics","Dominance","F","F","F","true","",""
"","137","html-keyboard-response","18","2.0.0","24752","pmqlfr9463w","raccoon","<b><font size=6>Adults have more chromosomes than children.</font></b>","m","Genetics","Chromosome","T","F","F","true","",""
"","12","html-keyboard-response","19","2.0.0","25280","pmqlfr9463w","raccoon","<b><font size=6>Humans have more chromosomes than mosquitoes.</font></b>","z","Genetics","Chromosome","T","T","T","true","",""
"","168","html-keyboard-response","20","2.0.0","25960","pmqlfr9463w","raccoon","<b><font size=6>Genes that code for eye color can be found in the liver.</font></b>","z","Genetics","Expression","F","T","T","true","",""
"","27","html-keyboard-response","21","2.0.0","26488","pmqlfr9463w","raccoon","<b><font size=6>Intelligence is heritable.</font></b>","m","Genetics","Heritability","F","T","T","false","",""
"","19","html-keyboard-response","22","2.0.0","27016","pmqlfr9463w","raccoon","<b><font size=6>Radiation can change one's genome.</font></b>","z","Genetics","Mutation","T","T","T","true","",""
"","96","html-keyboard-response","23","2.0.0","27616","pmqlfr9463w","raccoon","<b><font size=6>Exercise can change one's genome.</font></b>","m","Genetics","Mutation","T","F","F","true","",""
"","88","html-keyboard-response","24","2.0.0","28208","pmqlfr9463w","raccoon","<b><font size=6>Pierced ears are heritable.</font></b>","z","Genetics","Heritability","F","F","F","false","",""
"","36","html-keyboard-response","25","2.0.0","28744","pmqlfr9463w","raccoon","<b><font size=6>A blue-eyed baby must have two blue-eyed parents.</font></b>","z","Genetics","Dominance","T","F","F","false","",""
