"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","2228","fullscreen","0","null","3245","prrxk4q3fpj","llama","","","","","","","","","",""
"","930","html-keyboard-response","1","2.0.0","4178","prrxk4q3fpj","llama","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","599","html-keyboard-response","2","2.0.0","5279","prrxk4q3fpj","llama","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","1733","survey-text","3","2.0.0","7517","prrxk4q3fpj","llama","","{""participant_id"":""llama""}","","","","","","","",""
"","5450","html-keyboard-response","4","2.0.0","13471","prrxk4q3fpj","llama","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","1124","html-keyboard-response","5","2.0.0","14596","prrxk4q3fpj","llama","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Mechanics</font></b>"," ","","","","","","","",""
"","2570","html-keyboard-response","6","2.0.0","17669","prrxk4q3fpj","llama","<b><font size=6>A moving bullet loses weight.</font></b>","m","Mechanics","Velocity","F","F","F","true","",""
"","2150","html-keyboard-response","7","2.0.0","20322","prrxk4q3fpj","llama","<b><font size=6>Forces can be balanced or unbalanced.</font></b>","z","Mechanics","Force","F","T","T","true","",""
"","17098","html-keyboard-response","8","2.0.0","37921","prrxk4q3fpj","llama","<b><font size=6>Constant acceleration requires constant force.</font></b>","z","Mechanics","Acceleration","T","T","T","true","",""
"","8281","html-keyboard-response","9","2.0.0","46706","prrxk4q3fpj","llama","<b><font size=6>A moving bullet loses height.</font></b>","z","Mechanics","Velocity","F","T","T","true","",""
"","2071","html-keyboard-response","10","2.0.0","49279","prrxk4q3fpj","llama","<b><font size=6>Energy can be transferred from one object to another.</font></b>","z","Mechanics","Momentum","F","T","T","true","",""
"","16891","html-keyboard-response","11","2.0.0","66672","prrxk4q3fpj","llama","<b><font size=6>Color can be transferred from one object to another.</font></b>","m","Mechanics","Momentum","F","F","F","true","",""
"","27756","html-keyboard-response","12","2.0.0","94930","prrxk4q3fpj","llama","<b><font size=6>Constant motion requires constant force.</font></b>","m","Mechanics","Acceleration","T","F","F","true","",""
"","9431","html-keyboard-response","13","2.0.0","104863","prrxk4q3fpj","llama","<b><font size=6>Anvils fall through air faster than feathers.</font></b>","z","Mechanics","Gravity","T","T","T","true","",""
"","7483","html-keyboard-response","14","2.0.0","112848","prrxk4q3fpj","llama","<b><font size=6>Heavy balls fall through air faster than light balls.</font></b>","z","Mechanics","Gravity","T","F","F","false","",""
"","1416","html-keyboard-response","15","2.0.0","114766","prrxk4q3fpj","llama","<b><font size=6>Forces can be male or female.</font></b>","m","Mechanics","Force","F","F","F","true","",""
"","17973","html-keyboard-response","16","2.0.0","133241","prrxk4q3fpj","llama","<b><font size=6>Bright objects fall through air faster than dark objects.</font></b>","m","Mechanics","Gravity","F","F","F","true","",""
"","2673","html-keyboard-response","17","2.0.0","136415","prrxk4q3fpj","llama","<b><font size=6>A moving bullet loses speed.</font></b>","z","Mechanics","Velocity","T","T","T","true","",""
"","3151","html-keyboard-response","18","2.0.0","140069","prrxk4q3fpj","llama","<b><font size=6>Forces can be transferred from one object to another.</font></b>","z","Mechanics","Momentum","T","F","F","false","",""
"","15742","html-keyboard-response","19","2.0.0","156314","prrxk4q3fpj","llama","<b><font size=6>Constant force can yield constant rest.</font></b>","z","Mechanics","Acceleration","F","T","T","true","",""
"","36947","html-keyboard-response","20","2.0.0","193762","prrxk4q3fpj","llama","<b><font size=6>A moving bullet loses force.</font></b>","z","Mechanics","Velocity","T","F","F","false","",""
"","1816","html-keyboard-response","21","2.0.0","196080","prrxk4q3fpj","llama","<b><font size=6>Pointy objects fall through air faster than flat objects.</font></b>","m","Mechanics","Gravity","F","T","T","false","",""
"","18472","html-keyboard-response","22","2.0.0","215053","prrxk4q3fpj","llama","<b><font size=6>Forces can be strong or weak.</font></b>","m","Mechanics","Force","T","T","T","false","",""
"","3246","html-keyboard-response","23","2.0.0","218800","prrxk4q3fpj","llama","<b><font size=6>Forces can be straight or curved.</font></b>","m","Mechanics","Force","T","F","F","true","",""
"","3490","html-keyboard-response","24","2.0.0","222793","prrxk4q3fpj","llama","<b><font size=6>Constant speed requires constant acceleration.</font></b>","m","Mechanics","Acceleration","F","F","F","true","",""
"","3668","html-keyboard-response","25","2.0.0","226962","prrxk4q3fpj","llama","<b><font size=6>Momentum can be transferred from one object to another.</font></b>","z","Mechanics","Momentum","T","T","T","true","",""
"","null","html-keyboard-response","26","2.0.0","229166","prrxk4q3fpj","llama","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Astronomy</font></b>","null","","","","","","","",""
"","12724","html-keyboard-response","27","2.0.0","242391","prrxk4q3fpj","llama","<b><font size=6>The sun revolves around the earth.</font></b>","m","Astronomy","Solar system","T","F","F","true","",""
"","12899","html-keyboard-response","28","2.0.0","255792","prrxk4q3fpj","llama","<b><font size=6>Phases of the moon are caused by the earth's shadow.</font></b>","z","Astronomy","Lunar phase","T","F","F","false","",""
"","10350","html-keyboard-response","29","2.0.0","266644","prrxk4q3fpj","llama","<b><font size=6>The sun produces sound.</font></b>","z","Astronomy","Star","F","F","F","false","",""
"","6346","html-keyboard-response","30","2.0.0","273492","prrxk4q3fpj","llama","<b><font size=6>Phases of the moon are caused by the moon's orbit.</font></b>","z","Astronomy","Lunar phase","F","T","T","true","",""
"","2176","html-keyboard-response","31","2.0.0","276169","prrxk4q3fpj","llama","<b><font size=6>The sun revolves around the moon.</font></b>","m","Astronomy","Solar system","F","F","F","true","",""
"","15245","html-keyboard-response","32","2.0.0","291917","prrxk4q3fpj","llama","<b><font size=6>Phases of the moon are caused by changes in illumination.</font></b>","m","Astronomy","Lunar phase","T","T","T","false","",""
"","9101","html-keyboard-response","33","2.0.0","301520","prrxk4q3fpj","llama","<b><font size=6>A change in overall sunlight causes the seasons.</font></b>","m","Astronomy","Season","T","T","T","false","",""
"","2895","html-keyboard-response","34","2.0.0","304918","prrxk4q3fpj","llama","<b><font size=6>The earth's distance from the sun causes the seasons.</font></b>","z","Astronomy","Season","T","F","F","false","",""
"","2041","html-keyboard-response","35","2.0.0","307460","prrxk4q3fpj","llama","<b><font size=6>The sun produces light.</font></b>","z","Astronomy","Star","T","T","T","true","",""
"","3251","html-keyboard-response","36","2.0.0","311212","prrxk4q3fpj","llama","<b><font size=6>The earth's rotation causes the seasons.</font></b>","z","Astronomy","Season","F","F","F","false","",""
"","2766","html-keyboard-response","37","2.0.0","314480","prrxk4q3fpj","llama","<b><font size=6>Planets are more massive than moons.</font></b>","z","Astronomy","Planet","T","T","T","true","",""
"","2598","html-keyboard-response","38","2.0.0","317580","prrxk4q3fpj","llama","<b><font size=6>The sun produces gravity.</font></b>","z","Astronomy","Star","F","T","T","true","",""
"","9335","html-keyboard-response","39","2.0.0","327425","prrxk4q3fpj","llama","<b><font size=6>The moon produces light.</font></b>","m","Astronomy","Star","T","F","F","true","",""
"","22513","html-keyboard-response","40","2.0.0","350461","prrxk4q3fpj","llama","<b><font size=6>Stars are more massive than planets.</font></b>","m","Astronomy","Planet","F","T","T","false","",""
"","2432","html-keyboard-response","41","2.0.0","353395","prrxk4q3fpj","llama","<b><font size=6>The moon revolves around the earth.</font></b>","z","Astronomy","Solar system","T","T","T","true","",""
"","2973","html-keyboard-response","42","2.0.0","356871","prrxk4q3fpj","llama","<b><font size=6>Asteroids are more massive than planets.</font></b>","m","Astronomy","Planet","F","F","F","true","",""
"","3364","html-keyboard-response","43","2.0.0","360737","prrxk4q3fpj","llama","<b><font size=6>The earth's tilt causes the seasons.</font></b>","z","Astronomy","Season","F","T","T","true","",""
"","3778","html-keyboard-response","44","2.0.0","365018","prrxk4q3fpj","llama","<b><font size=6>Planets are more massive than stars.</font></b>","z","Astronomy","Planet","T","F","F","false","",""
"","11476","html-keyboard-response","45","2.0.0","376998","prrxk4q3fpj","llama","<b><font size=6>The earth revolves around the sun.</font></b>","z","Astronomy","Solar system","F","T","T","true","",""
"","4614","html-keyboard-response","46","2.0.0","382114","prrxk4q3fpj","llama","<b><font size=6>Phases of the moon are caused by clouds.</font></b>","m","Astronomy","Lunar phase","F","F","F","true","",""
