"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","3157","fullscreen","0","null","4170","pt0qmzpyrnd","badger","","","","","","","","","",""
"","4219","html-keyboard-response","1","2.0.0","8392","pt0qmzpyrnd","badger","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","899","html-keyboard-response","2","2.0.0","9792","pt0qmzpyrnd","badger","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","2573","survey-text","3","2.0.0","12871","pt0qmzpyrnd","badger","","{""participant_id"":""badger""}","","","","","","","",""
"","210434","html-keyboard-response","4","2.0.0","223803","pt0qmzpyrnd","badger","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","225507","pt0qmzpyrnd","badger","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Germs</font></b>","null","","","","","","","",""
"","15128","html-keyboard-response","6","2.0.0","241139","pt0qmzpyrnd","badger","<b><font size=6>Sunshine contains germs.</font></b>","m","Germs","Contamination","F","F","F","true","",""
"","4530","html-keyboard-response","7","2.0.0","246172","pt0qmzpyrnd","badger","<b><font size=6>Germs enter the body through the skin.</font></b>","z","Germs","Infection","T","F","F","false","",""
"","5377","html-keyboard-response","8","2.0.0","252051","pt0qmzpyrnd","badger","<b><font size=6>Being happy can make a person sick.</font></b>","m","Germs","Contagion","F","F","F","true","",""
"","3044","html-keyboard-response","9","2.0.0","255597","pt0qmzpyrnd","badger","<b><font size=6>Water kills germs.</font></b>","m","Germs","Sterilization","T","F","F","true","",""
"","3199","html-keyboard-response","10","2.0.0","259298","pt0qmzpyrnd","badger","<b><font size=6>Germs have an odor.</font></b>","m","Germs","Microbe","T","F","F","true","",""
"","2504","html-keyboard-response","11","2.0.0","262303","pt0qmzpyrnd","badger","<b><font size=6>Germs have DNA.</font></b>","z","Germs","Microbe","F","T","T","true","",""
