"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1304","fullscreen","0","null","2311","pybs2e9nmlg","heron","","","","","","","","","",""
"","818","html-keyboard-response","1","2.0.0","3130","pybs2e9nmlg","heron","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","1138","html-keyboard-response","2","2.0.0","4769","pybs2e9nmlg","heron","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","3001","survey-text","3","2.0.0","8288","pybs2e9nmlg","heron","","{""participant_id"":""heron""}","","","","","","","",""
"","6732","html-keyboard-response","4","2.0.0","15525","pybs2e9nmlg","heron","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","17233","pybs2e9nmlg","heron","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","4198","html-keyboard-response","6","2.0.0","21945","pybs2e9nmlg","heron","<b><font size=6>Mirrors reflect sound.</font></b>","m","Waves","Reflection","F","T","T","false","",""
"","3434","html-keyboard-response","7","2.0.0","25894","pybs2e9nmlg","heron","<b><font size=6>Sounds can be near or far.</font></b>","z","Waves","Sound","T","F","F","false","",""
"","1511","html-keyboard-response","8","2.0.0","27913","pybs2e9nmlg","heron","<b><font size=6>Sound travels through metal.</font></b>","z","Waves","Propagation","F","T","T","true","",""
"","2060","html-keyboard-response","9","2.0.0","30485","pybs2e9nmlg","heron","<b><font size=6>Rainbows contain all colors of light.</font></b>","z","Waves","Light","T","T","T","true","",""
"","3671","html-keyboard-response","10","2.0.0","34671","pybs2e9nmlg","heron","<b><font size=6>Red objects absorb red light.</font></b>","z","Waves","Color","T","F","F","false","",""
"","1792","html-keyboard-response","11","2.0.0","36966","pybs2e9nmlg","heron","<b><font size=6>Foam reflects sound.</font></b>","m","Waves","Reflection","F","F","F","true","",""
"","2714","html-keyboard-response","12","2.0.0","40194","pybs2e9nmlg","heron","<b><font size=6>Red objects reflect red light.</font></b>","z","Waves","Color","T","T","T","true","",""
"","1656","html-keyboard-response","13","2.0.0","42361","pybs2e9nmlg","heron","<b><font size=6>Sound travels through a vacuum.</font></b>","z","Waves","Propagation","T","F","F","false","",""
"","1029","html-keyboard-response","14","2.0.0","43900","pybs2e9nmlg","heron","<b><font size=6>Sound travels through air.</font></b>","z","Waves","Propagation","T","T","T","true","",""
"","2685","html-keyboard-response","15","2.0.0","47100","pybs2e9nmlg","heron","<b><font size=6>Red objects absorb blue light.</font></b>","m","Waves","Color","F","T","T","false","",""
"","2401","html-keyboard-response","16","2.0.0","50016","pybs2e9nmlg","heron","<b><font size=6>Red objects reflect blue light.</font></b>","z","Waves","Color","F","F","F","false","",""
"","1207","html-keyboard-response","17","2.0.0","51725","pybs2e9nmlg","heron","<b><font size=6>Prisms reflect light.</font></b>","z","Waves","Reflection","T","F","F","false","",""
"","1605","html-keyboard-response","18","2.0.0","53844","pybs2e9nmlg","heron","<b><font size=6>Sound travels through foam.</font></b>","z","Waves","Propagation","F","F","F","false","",""
"","2638","html-keyboard-response","19","2.0.0","56998","pybs2e9nmlg","heron","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","1038","html-keyboard-response","20","2.0.0","58537","pybs2e9nmlg","heron","<b><font size=6>Sounds can be loud or quiet.</font></b>","z","Waves","Sound","T","T","T","true","",""
"","1258","html-keyboard-response","21","2.0.0","60298","pybs2e9nmlg","heron","<b><font size=6>Sounds can be dead or alive.</font></b>","z","Waves","Sound","F","F","F","false","",""
"","2146","html-keyboard-response","22","2.0.0","62952","pybs2e9nmlg","heron","<b><font size=6>Black objects reflect all colors of light.</font></b>","m","Waves","Light","T","F","F","true","",""
"","1611","html-keyboard-response","23","2.0.0","65072","pybs2e9nmlg","heron","<b><font size=6>Mirrors reflect light.</font></b>","z","Waves","Reflection","T","T","T","true","",""
"","3397","html-keyboard-response","24","2.0.0","68981","pybs2e9nmlg","heron","<b><font size=6>Shadows contain all colors of light.</font></b>","m","Waves","Light","F","F","F","true","",""
"","1757","html-keyboard-response","25","2.0.0","71242","pybs2e9nmlg","heron","<b><font size=6>White light contains all colors of light.</font></b>","z","Waves","Light","F","T","T","true","",""
"","null","html-keyboard-response","26","2.0.0","73471","pybs2e9nmlg","heron","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","null","","","","","","","",""
"","4136","html-keyboard-response","27","2.0.0","78121","pybs2e9nmlg","heron","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","m","Genetics","Expression","T","F","F","true","",""
"","1567","html-keyboard-response","28","2.0.0","80193","pybs2e9nmlg","heron","<b><font size=6>Intelligence is heritable.</font></b>","z","Genetics","Heritability","F","T","T","true","",""
"","3695","html-keyboard-response","29","2.0.0","84392","pybs2e9nmlg","heron","<b><font size=6>Men have more chromosomes than women.</font></b>","m","Genetics","Chromosome","F","F","F","true","",""
"","3215","html-keyboard-response","30","2.0.0","88119","pybs2e9nmlg","heron","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","z","Genetics","Heritability","T","F","F","false","",""
"","2785","html-keyboard-response","31","2.0.0","91406","pybs2e9nmlg","heron","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","z","Genetics","Chromosome","F","T","T","true","",""
